corpus,sentence_id,n_switches,mean_span_len,median_span_len,sentence_len,register,topic
Miami,46.0,2,3.0,3.0,12.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,68.0,6,2.0,1.0,8.0,Informal conversation between brother and sister,ProperNouns_NamedEntities
Miami,74.0,2,7.0,7.0,10.0,Informal conversation between brother and sister,Architecture_Design
Miami,126.0,2,1.0,1.0,3.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,132.0,4,2.0,2.0,9.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,133.0,4,5.5,5.5,15.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,252.0,2,1.0,1.0,6.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,254.0,2,1.0,1.0,3.0,Informal conversation between brother and sister,ProperNouns_NamedEntities
Miami,335.0,2,1.0,1.0,3.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,336.0,8,2.75,1.0,15.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,337.0,4,4.5,4.5,11.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,342.0,4,2.0,2.0,9.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,361.0,5,7.5,7.5,16.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,365.0,2,4.0,4.0,11.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,496.0,2,1.0,1.0,8.0,Informal conversation between brother and sister,Narratives_Quotations
Miami,500.0,2,1.0,1.0,3.0,Informal conversation between brother and sister,Casual_EverydayTalk
Miami,667.0,2,8.0,8.0,10.0,MAR is in her office talking to a colleague,Office_Logistics
Miami,681.0,4,5.5,5.5,20.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,684.0,2,3.0,3.0,8.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,693.0,2,1.0,1.0,7.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,702.0,6,4.0,2.0,20.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,716.0,4,1.5,1.5,11.0,MAR is in her office talking to a colleague,Office_Logistics
Miami,721.0,4,2.0,2.0,7.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,722.0,4,5.5,5.5,15.0,MAR is in her office talking to a colleague,Office_Logistics
Miami,730.0,2,2.0,2.0,4.0,MAR is in her office talking to a colleague,Narratives_Quotations
Miami,734.0,2,3.0,3.0,10.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,759.0,2,1.0,1.0,4.0,MAR is in her office talking to a colleague,Workplace_Technical
Miami,787.0,2,3.0,3.0,14.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,789.0,4,8.5,8.5,19.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,794.0,4,1.0,1.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,807.0,4,2.0,2.0,11.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,815.0,2,4.0,4.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,818.0,2,4.0,4.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,823.0,4,3.5,3.5,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,824.0,2,19.0,19.0,21.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,826.0,4,5.0,5.0,24.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,830.0,2,10.0,10.0,19.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,836.0,6,2.3333333333333335,2.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,916.0,2,1.0,1.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,925.0,2,2.0,2.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,941.0,3,13.0,13.0,13.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,946.0,2,17.0,17.0,18.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,958.0,4,1.5,1.5,11.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,961.0,2,1.0,1.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,975.0,2,2.0,2.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,978.0,2,1.0,1.0,6.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,980.0,2,2.0,2.0,5.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,995.0,6,4.0,4.0,21.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1002.0,2,1.0,1.0,3.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1006.0,4,4.5,4.5,11.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,1008.0,4,2.0,2.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1017.0,2,6.0,6.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1037.0,2,2.0,2.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1045.0,4,2.0,2.0,11.0,Informal conversation between Paola and her grandmother at a friend's house,Education_YouthOrganizations
Miami,1072.0,2,2.0,2.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1079.0,4,2.0,2.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1088.0,2,2.0,2.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1089.0,2,9.0,9.0,11.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1090.0,2,5.0,5.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1126.0,6,1.0,1.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1127.0,2,8.0,8.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1133.0,4,3.0,3.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1152.0,2,10.0,10.0,18.0,Informal conversation between Paola and her grandmother at a friend's house,Narratives_Quotations
Miami,1174.0,6,1.6666666666666667,2.0,7.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1177.0,8,1.25,1.0,9.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1181.0,10,3.0,3.0,17.0,Informal conversation between Paola and her grandmother at a friend's house,Architecture_Design
Miami,1182.0,4,3.0,3.0,14.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1185.0,6,3.6666666666666665,3.0,13.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1198.0,4,2.5,2.5,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1199.0,6,2.3333333333333335,1.0,12.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1217.0,2,4.0,4.0,10.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1219.0,4,2.0,2.0,16.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
Miami,1223.0,2,2.0,2.0,4.0,Informal conversation between Paola and her grandmother at a friend's house,ProperNouns_NamedEntities
Miami,1228.0,2,5.0,5.0,8.0,Informal conversation between Paola and her grandmother at a friend's house,Casual_EverydayTalk
