corpus,source_row,sentence_id,language,span_len,switch_form,switch_upos,switch_deprel,switch_lang_tag,register,secondary_register,topic,sentence_len,speaker,age,gender,is_functional,upos_class,high_scope_deprel,switch_start,token_id,form,upos,deprel,raw_lang_tag
Miami,0.0,46.0,English,3.0,towards,ADP,case,eng,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,63.0,woman,True,functional,False,1,,,,,
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,other,False,0,1.0,él,PRON,nsubj,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,lexical,False,0,2.0,empezó,VERB,root,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,True,functional,True,0,3.0,a,PART,mark,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,lexical,False,0,4.0,trabajar,VERB,xcomp,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,True,functional,False,0,5.0,en,ADP,case,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,True,functional,False,0,6.0,los,DET,det,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,lexical,False,0,7.0,primeros,ADJ,amod,spa
Miami,,46.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,lexical,False,0,8.0,años,NOUN,obl,spa
Miami,,46.0,English,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,True,functional,False,1,9.0,towards,ADP,case,eng
Miami,,46.0,English,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,True,functional,False,0,10.0,the,DET,det,eng
Miami,,46.0,English,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,12.0,GRA,,,False,lexical,False,0,11.0,end,NOUN,obl,eng
Miami,1.0,68.0,English,1.0,Beethoven,PROPN,nsubj,eng&spa,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,63.0,woman,False,lexical,False,1,,,,,
Miami,1.0,68.0,Spanish,4.0,en,ADP,case,spa,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,63.0,woman,True,functional,False,1,,,,,
Miami,1.0,68.0,English,1.0,macaronic,ADJ,xcomp,eng,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,63.0,woman,False,lexical,False,1,,,,,
Miami,,68.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,False,lexical,False,0,1.0,escribió,VERB,root,spa
Miami,,68.0,English,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,False,lexical,False,1,2.0,Beethoven,PROPN,nsubj,eng&spa
Miami,,68.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,True,functional,False,1,3.0,en,ADP,case,spa
Miami,,68.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,True,functional,False,0,4.0,sus,DET,det,spa
Miami,,68.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,False,lexical,False,0,5.0,llaman,VERB,advcl,spa
Miami,,68.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,False,other,False,0,6.0,aquí,ADV,advmod,spa
Miami,,68.0,English,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,8.0,GRA,,,False,lexical,False,1,7.0,macaronic,ADJ,xcomp,eng
Miami,2.0,74.0,English,7.0,thereby,ADV,advmod,eng,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,63.0,woman,False,other,False,1,,,,,
Miami,,74.0,Spanish,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,True,functional,True,0,1.0,y,CCONJ,cc,spa
Miami,,74.0,Spanish,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,True,functional,True,0,2.0,que,SCONJ,mark,spa
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,False,other,False,1,3.0,thereby,ADV,advmod,eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,False,lexical,False,0,4.0,matching,VERB,root,eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,True,functional,False,0,5.0,the,DET,det,eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,False,lexical,False,0,6.0,style,NOUN,obj,eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,True,functional,False,0,7.0,of,ADP,case,eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,False,lexical,False,0,8.0,Clement,PROPN,nmod,eng&spa+eng
Miami,,74.0,English,,,,,,Informal conversation between brother and sister,,Architecture_Design,10.0,GRA,,,True,functional,False,0,9.0,s,PART,case,eng
Miami,3.0,126.0,English,1.0,mmhm,other,discourse,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,CAL,64.0,man,False,other,True,1,,,,,
Miami,,126.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,CAL,,,False,other,True,0,1.0,sí,ADV,discourse,spa
Miami,,126.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,CAL,,,False,other,True,1,2.0,mmhm,other,discourse,eng
Miami,4.0,132.0,English,1.0,Cds,NOUN,obl,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,4.0,132.0,Spanish,3.0,que,PRON,obj,spa,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,64.0,man,False,other,False,1,,,,,
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,True,functional,False,0,1.0,varias,DET,det,spa
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,False,lexical,False,0,2.0,composiciones,NOUN,obj,spa
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,True,functional,True,0,3.0,según,ADP,mark,spa
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,True,functional,False,0,4.0,los,DET,det,spa
Miami,,132.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,False,lexical,False,1,5.0,Cds,NOUN,obl,eng
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,False,other,False,1,6.0,que,PRON,obj,spa
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,False,other,False,0,7.0,yo,PRON,nsubj,spa
Miami,,132.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,9.0,CAL,,,False,lexical,False,0,8.0,tengo,VERB,root,spa
Miami,5.0,133.0,English,1.0,Cds,NOUN,obl,eng,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,5.0,133.0,Spanish,10.0,ellos,PRON,nsubj,spa,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,64.0,man,False,other,False,1,,,,,
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,other,False,0,1.0,uno,NUM,nummod,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,True,functional,False,0,2.0,de,ADP,case,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,True,functional,False,0,3.0,los,DET,det,spa
Miami,,133.0,English,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,lexical,False,1,4.0,Cds,NOUN,obl,eng
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,other,False,1,5.0,ellos,PRON,nsubj,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,True,functional,True,0,6.0,han,AUX,aux,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,lexical,False,0,7.0,tocado,VERB,root,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,True,functional,False,0,8.0,varias,DET,det,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,lexical,False,0,9.0,composiciones,NOUN,obj,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,other,False,0,10.0,todos,PRON,det,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,other,False,0,11.0,cinco,NUM,nummod,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,True,functional,False,0,12.0,al,ADP,case,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,lexical,False,0,13.0,mismo,ADJ,amod,spa
Miami,,133.0,Spanish,,,,,,Informal conversation between brother and sister,,Narratives_Quotations,15.0,CAL,,,False,lexical,False,0,14.0,tiempo,NOUN,obl,spa
Miami,6.0,252.0,English,1.0,America,PROPN,obl,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,63.0,woman,False,lexical,False,1,,,,,
Miami,,252.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,,,False,lexical,False,0,1.0,es,VERB,root,spa
Miami,,252.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,,,False,other,False,0,2.0,algo,PRON,nsubj,spa
Miami,,252.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,,,False,lexical,False,0,3.0,similar,ADJ,xcomp,spa
Miami,,252.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,,,True,functional,False,0,4.0,a,ADP,case,spa
Miami,,252.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,6.0,GRA,,,False,lexical,False,1,5.0,America,PROPN,obl,eng
Miami,7.0,254.0,Spanish,1.0,que,PRON,root,spa,Informal conversation between brother and sister,,ProperNouns_NamedEntities,3.0,CAL,64.0,man,False,other,False,1,,,,,
Miami,,254.0,English,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,3.0,CAL,,,False,lexical,False,0,1.0,America,PROPN,nsubj,eng
Miami,,254.0,Spanish,,,,,,Informal conversation between brother and sister,,ProperNouns_NamedEntities,3.0,CAL,,,False,other,False,1,2.0,que,PRON,root,spa
Miami,8.0,335.0,English,1.0,blog,NOUN,root,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,GRA,63.0,woman,False,lexical,False,1,,,,,
Miami,,335.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,GRA,,,False,other,True,0,1.0,eh,INTJ,discourse,spa
Miami,,335.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,3.0,GRA,,,False,lexical,False,1,2.0,blog,NOUN,root,eng
Miami,9.0,336.0,English,1.0,blog,NOUN,nsubj,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,9.0,336.0,Spanish,1.0,bueno,ADJ,amod,spa,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,9.0,336.0,English,1.0,blog,NOUN,appos,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,9.0,336.0,Spanish,8.0,es,AUX,cop,spa,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,64.0,man,True,functional,True,1,,,,,
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,other,False,0,1.0,sí,ADV,advmod,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,False,0,2.0,no,PART,advmod,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,False,0,3.0,un,DET,det,spa
Miami,,336.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,lexical,False,1,4.0,blog,NOUN,nsubj,eng
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,lexical,False,1,5.0,bueno,ADJ,amod,spa
Miami,,336.0,English,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,lexical,False,1,6.0,blog,NOUN,appos,eng
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,True,1,7.0,es,AUX,cop,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,False,0,8.0,cuando,SCONJ,root,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,other,False,0,9.0,ellos,PRON,nsubj,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,lexical,False,0,10.0,escriben,VERB,advcl,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,False,0,11.0,para,ADP,case,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,True,functional,True,0,12.0,que,SCONJ,mark,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,other,False,0,13.0,ellos,PRON,nsubj,spa
Miami,,336.0,Spanish,,,,,,Informal conversation between brother and sister,,Casual_EverydayTalk,15.0,CAL,,,False,lexical,False,0,14.0,escriben,VERB,ccomp,spa
Miami,10.0,337.0,English,1.0,blog,NOUN,nsubj,eng,Informal conversation between brother and sister,,Casual_EverydayTalk,11.0,CAL,64.0,man,False,lexical,False,1,,,,,
Miami,10.0,337.0,Spanish,8.0,es,AUX,root,spa,Informal conversation between brother and sister,,Casual_EverydayTalk,11.0,CAL,64.0,man,True,functional,False,1,,,,,
