corpus,sentence_id,n_switches,mean_span_len,median_span_len,sentence_len,register,topic
Paraguay,1,8,3.75,3.0,18,Formal,Education_Policy_University
Paraguay,2,8,2.0,2.0,12,Informal,Corruption_Donations_Procurement
Paraguay,3,20,2.0,1.5,28,Formal,Indigenous_CommunityAid
Paraguay,4,2,4.0,4.0,6,Formal,Cultural_Event_Festival
Paraguay,5,8,2.0,2.0,10,Formal,Legislation_Policy
Paraguay,7,12,2.0,1.0,20,Informal,UserMention_Request_Response
Paraguay,9,4,6.0,6.0,16,Informal,Health_COVID
Paraguay,10,24,1.6666666666666667,1.0,26,Formal,Sports_Event
Paraguay,11,14,3.0,2.0,27,Formal,Media_Broadcast_Notice
Paraguay,15,8,2.25,2.0,19,Formal,Cultural_Event_Festival
Paraguay,17,12,2.1666666666666665,1.0,16,Formal,Cultural_Event_Festival
Paraguay,18,4,1.5,1.5,6,Informal,Humor_Rant
Paraguay,19,12,1.6666666666666667,1.0,16,Formal,Commercial_Product
Paraguay,20,4,1.5,1.5,6,Formal,Mobilization_Call
Paraguay,21,28,1.8571428571428572,1.5,32,Formal,Sports_Event
Paraguay,22,4,1.0,1.0,13,Informal,UserMention_Request_Response
Paraguay,23,44,1.5909090909090908,1.0,42,Formal,Education_Policy_University
Paraguay,24,18,2.111111111111111,1.0,26,Formal,Transport_PublicSafety
Paraguay,25,8,4.25,4.5,26,Informal,Health_COVID
Paraguay,26,16,1.875,1.0,21,Informal,UserMention_Request_Response
Paraguay,27,18,2.2222222222222223,2.0,27,Formal,Government_Announcement
Paraguay,28,4,7.5,7.5,17,Informal,UserMention_Request_Response
Paraguay,29,14,2.7142857142857144,1.0,22,Informal,Humor_Rant
Paraguay,30,18,1.4444444444444444,1.0,19,Informal,Humor_Rant
Paraguay,31,6,1.3333333333333333,1.0,8,Formal,Infrastructure_Contract
Paraguay,33,8,1.75,2.0,8,Informal,Humor_Rant
Paraguay,34,12,1.8333333333333333,2.0,19,Formal,Crime_Investigation
Paraguay,35,14,1.2857142857142858,1.0,18,Formal,Government_Announcement
Paraguay,36,6,1.6666666666666667,2.0,10,Informal,Cultural_Event_Festival
Paraguay,37,4,6.0,6.0,20,Informal,Education_Policy_University
Paraguay,38,4,2.5,2.5,22,Informal,Humor_Rant
Paraguay,40,28,1.9285714285714286,1.0,37,Formal,Corruption_Donations_Procurement
Paraguay,41,8,1.25,1.0,9,Formal,Opinion_Commentary
Paraguay,43,18,2.3333333333333335,2.0,25,Formal,Legislation_Policy
Paraguay,44,12,2.0,1.5,16,Informal,UserMention_Request_Response
Paraguay,45,8,3.75,1.0,24,Informal,Shopping_PersonalPurchase
Paraguay,46,6,2.3333333333333335,1.0,14,Formal,Infrastructure_Contract
Paraguay,47,8,3.0,2.5,19,Formal,Cultural_Event_Festival
Paraguay,50,18,1.8888888888888888,1.0,25,Formal,Legal_Judicial
Paraguay,51,14,2.857142857142857,2.0,25,Formal,Government_Announcement
Paraguay,55,8,2.5,1.5,19,Informal,Personal_Emotional
Paraguay,56,12,1.8333333333333333,1.5,16,Formal,Legal_Judicial
Paraguay,57,2,1.0,1.0,10,Formal,Commercial_Product
Paraguay,59,8,2.0,2.0,31,Informal,Personal_Emotional
Paraguay,60,6,4.0,3.0,23,Informal,Health_COVID
Paraguay,61,24,1.1666666666666667,1.0,24,Formal,Opinion_Commentary
Paraguay,62,2,2.0,2.0,5,Informal,UserMention_Request_Response
Paraguay,64,6,3.0,2.0,13,Formal,Legislation_Policy
Paraguay,65,10,1.8,1.0,12,Formal,PublicAdministration_Changes
Paraguay,66,4,6.0,6.0,14,Informal,UserMention_Request_Response
Paraguay,67,10,2.2,2.0,17,Formal,Corruption_Donations_Procurement
Paraguay,68,4,5.0,5.0,18,Informal,Shopping_PersonalPurchase
Paraguay,69,6,2.0,2.0,9,Formal,PublicAdministration_Changes
Paraguay,71,4,2.5,2.5,8,Formal,Government_Announcement
Paraguay,74,10,2.0,2.0,13,Informal,Humor_Rant
Paraguay,75,6,3.6666666666666665,3.0,19,Informal,Personal_Emotional
Paraguay,76,10,1.6,1.0,9,Informal,Sports_Event
Paraguay,77,6,4.333333333333333,4.0,18,Informal,Humor_Rant
Paraguay,79,10,2.0,2.0,20,Informal,Sports_Event
Paraguay,80,4,1.0,1.0,3,Informal,Cultural_Event_Festival
Paraguay,81,20,1.6,1.0,23,Formal,Education_Policy_University
Paraguay,82,42,1.7142857142857142,2.0,46,Formal,Legal_Judicial
Paraguay,84,2,3.0,3.0,7,Formal,Media_Broadcast_Notice
Paraguay,86,6,2.0,1.0,7,Informal,UserMention_Request_Response
Paraguay,87,6,2.0,1.0,10,Formal,Opinion_Commentary
Paraguay,88,2,1.0,1.0,6,Informal,Personal_Emotional
Paraguay,90,6,3.3333333333333335,2.0,13,Informal,Personal_Emotional
Paraguay,91,10,2.0,1.0,14,Formal,PublicAdministration_Changes
Paraguay,92,10,1.8,1.0,10,Formal,Legislation_Policy
Paraguay,93,6,1.6666666666666667,2.0,11,Formal,Cultural_Event_Festival
Paraguay,94,8,1.5,1.0,10,Informal,UserMention_Request_Response
Paraguay,95,10,1.2,1.0,8,Formal,Corruption_Donations_Procurement
Paraguay,97,22,2.727272727272727,2.0,42,Formal,Protest_Report
Paraguay,98,6,2.3333333333333335,3.0,19,Informal,Personal_Emotional
Paraguay,102,24,2.0833333333333335,2.0,36,Formal,Opinion_Commentary
Paraguay,106,16,1.625,1.0,16,Formal,Corruption_Donations_Procurement
Paraguay,107,12,2.5,1.5,24,Informal,UserMention_Request_Response
Paraguay,108,12,1.0,1.0,9,Informal,UserMention_Request_Response
Paraguay,109,14,2.0,2.0,20,Formal,Cultural_Event_Festival
Paraguay,110,6,2.0,1.0,7,Informal,UserMention_Request_Response
Paraguay,111,8,1.0,1.0,8,Formal,Government_Announcement
Paraguay,112,12,1.0,1.0,8,Informal,Personal_Emotional
Paraguay,114,8,4.25,1.0,23,Informal,Opinion_Commentary
Paraguay,116,6,1.6666666666666667,2.0,6,Informal,UserMention_Request_Response
Paraguay,117,2,6.0,6.0,17,Informal,UserMention_Request_Response
Paraguay,118,6,2.3333333333333335,2.0,12,Informal,Personal_Emotional
Paraguay,120,6,1.6666666666666667,2.0,6,Informal,UserMention_Request_Response
Paraguay,121,6,2.6666666666666665,3.0,11,Informal,UserMention_Request_Response
Paraguay,122,4,2.0,2.0,7,Informal,Humor_Rant
Paraguay,126,32,1.4375,1.0,30,Formal,Legislation_Policy
Paraguay,127,20,2.2,2.0,27,Formal,Corruption_Donations_Procurement
Paraguay,129,8,3.0,1.5,28,Formal,Cultural_Event_Festival
Paraguay,130,6,3.6666666666666665,4.0,19,Formal,Media_Broadcast_Notice
Paraguay,131,8,2.5,2.5,14,Formal,Other
Paraguay,132,8,2.5,1.5,13,Informal,Humor_Rant
Paraguay,133,4,2.0,2.0,8,Informal,UserMention_Request_Response
Paraguay,137,16,2.375,1.5,23,Informal,Humor_Rant
Paraguay,139,20,1.7,1.5,24,Formal,Mobilization_Call
Paraguay,140,18,1.6666666666666667,2.0,21,Formal,Legislation_Policy
Paraguay,143,6,6.0,2.0,23,Informal,UserMention_Request_Response
Paraguay,147,14,4.285714285714286,2.0,41,Formal,Legislation_Policy
Paraguay,149,12,3.0,2.5,24,Formal,Environment_NationalParks
Paraguay,150,16,1.875,2.0,19,Formal,Protest_Report
Paraguay,152,6,2.3333333333333335,2.0,8,Informal,Corruption_Donations_Procurement
Paraguay,153,12,2.0,1.5,17,Formal,Media_Broadcast_Notice
Paraguay,154,12,2.0,1.5,14,Formal,Corruption_Donations_Procurement
Paraguay,155,20,1.9,1.0,25,Formal,Government_Announcement
Paraguay,156,6,3.0,2.0,15,Formal,Cultural_Event_Festival
Paraguay,158,28,1.6428571428571428,1.0,31,Formal,Government_Announcement
Paraguay,159,4,1.5,1.5,6,Informal,UserMention_Request_Response
Paraguay,160,8,3.0,3.0,16,Informal,UserMention_Request_Response
Paraguay,161,22,1.2727272727272727,1.0,16,Formal,Commercial_Product
Paraguay,162,12,1.5,1.0,13,Formal,Infrastructure_Contract
Paraguay,163,32,1.8125,2.0,36,Formal,Legislation_Policy
Paraguay,164,6,3.3333333333333335,3.0,12,Informal,Humor_Rant
Paraguay,165,18,1.4444444444444444,1.0,17,Formal,Government_Announcement
Paraguay,167,4,2.5,2.5,13,Informal,Opinion_Commentary
Paraguay,168,4,1.5,1.5,10,Informal,Opinion_Commentary
Paraguay,169,12,1.8333333333333333,1.0,18,Formal,Government_Announcement
Paraguay,172,20,2.8,3.0,37,Formal,Government_Announcement
Paraguay,173,10,2.0,1.0,16,Formal,Opinion_Commentary
Paraguay,174,30,1.8666666666666667,2.0,39,Formal,Education_Policy_University
Paraguay,175,14,1.2857142857142858,1.0,16,Informal,Humor_Rant
Paraguay,177,16,2.625,2.5,27,Formal,Commercial_Product
Paraguay,178,6,8.0,4.0,27,Informal,Personal_Emotional
Paraguay,179,14,2.142857142857143,2.0,21,Informal,Opinion_Commentary
Paraguay,180,2,7.0,7.0,14,Informal,Personal_Emotional
Paraguay,181,4,2.5,2.5,8,Informal,UserMention_Request_Response
Paraguay,182,6,2.0,1.0,12,Formal,Legislation_Policy
Paraguay,184,4,5.0,5.0,22,Informal,Personal_Emotional
Paraguay,187,18,1.8888888888888888,1.0,21,Informal,Humor_Rant
Paraguay,188,10,1.8,2.0,17,Formal,PublicAdministration_Changes
Paraguay,189,6,1.6666666666666667,1.0,9,Formal,Government_Announcement
Paraguay,190,30,2.0,1.0,42,Formal,Opinion_Commentary
Paraguay,191,12,3.0,2.5,25,Formal,Government_Announcement
Paraguay,192,6,1.6666666666666667,1.0,8,Informal,Sports_Event
Paraguay,193,16,2.5,1.5,25,Formal,Government_Announcement
Paraguay,194,8,3.5,2.0,28,Informal,UserMention_Request_Response
Paraguay,195,8,2.75,2.0,19,Informal,Humor_Rant
Paraguay,196,14,2.0,1.0,20,Formal,Sports_Event
Paraguay,197,14,2.2857142857142856,2.0,23,Formal,Transport_PublicSafety
Paraguay,198,2,3.0,3.0,10,Informal,UserMention_Request_Response
Paraguay,200,6,3.0,1.0,14,Informal,Humor_Rant
Paraguay,201,4,2.5,2.5,6,Formal,Cultural_Event_Festival
Paraguay,204,8,2.0,1.5,11,Informal,Humor_Rant
Paraguay,205,24,1.6666666666666667,1.5,30,Formal,PublicAdministration_Changes
Paraguay,206,6,1.0,1.0,10,Informal,UserMention_Request_Response
Paraguay,207,2,5.0,5.0,8,Formal,PublicAdministration_Changes
Paraguay,208,30,2.2666666666666666,2.0,42,Formal,Corruption_Donations_Procurement
Paraguay,210,22,2.5454545454545454,2.0,34,Formal,Cultural_Event_Festival
Paraguay,211,10,2.2,2.0,17,Formal,Protest_Report
Paraguay,212,16,3.125,2.5,33,Formal,Crime_Investigation
Paraguay,214,14,1.7142857142857142,1.0,19,Formal,PublicAdministration_Changes
Paraguay,215,6,2.3333333333333335,1.0,11,Formal,Agriculture_Reactivation
Paraguay,216,14,1.5714285714285714,1.0,27,Informal,Humor_Rant
Paraguay,217,2,9.0,9.0,19,Formal,Education_Policy_University
Paraguay,218,6,3.3333333333333335,2.0,16,Informal,Humor_Rant
Paraguay,219,14,1.8571428571428572,2.0,21,Formal,Transport_PublicSafety
Paraguay,221,6,1.3333333333333333,1.0,8,Informal,Humor_Rant
Paraguay,222,18,2.2222222222222223,2.0,26,Formal,Protest_Report
Paraguay,223,4,4.0,4.0,10,Formal,Indigenous_CommunityAid
Paraguay,225,20,1.5,1.0,20,Formal,Legislation_Policy
Paraguay,226,18,1.7777777777777777,1.0,22,Informal,Humor_Rant
Paraguay,229,6,2.6666666666666665,1.0,9,Informal,Humor_Rant
Paraguay,230,32,1.875,2.0,34,Formal,Education_Policy_University
Paraguay,231,4,3.0,3.0,16,Informal,Opinion_Commentary
Paraguay,232,4,1.5,1.5,5,Informal,UserMention_Request_Response
Paraguay,233,2,5.0,5.0,9,Informal,UserMention_Request_Response
Paraguay,234,4,3.0,3.0,9,Informal,UserMention_Request_Response
Paraguay,235,12,2.3333333333333335,2.0,22,Formal,Infrastructure_Contract
Paraguay,236,10,1.6,1.0,14,Formal,Transport_PublicSafety
Paraguay,237,34,2.0,1.0,46,Formal,Government_Announcement
Paraguay,238,4,4.5,4.5,19,Informal,UserMention_Request_Response
Paraguay,239,10,1.4,1.0,13,Informal,Opinion_Commentary
Paraguay,241,6,1.3333333333333333,1.0,6,Formal,PublicHealth_Services
Paraguay,242,16,1.5,1.5,18,Informal,UserMention_Request_Response
Paraguay,244,8,3.75,3.5,19,Informal,UserMention_Request_Response
Paraguay,245,4,1.5,1.5,9,Informal,UserMention_Request_Response
Paraguay,247,18,1.8888888888888888,1.0,20,Formal,Indigenous_CommunityAid
Paraguay,248,6,2.6666666666666665,2.0,10,Informal,Personal_Emotional
Paraguay,249,10,1.6,1.0,25,Informal,Opinion_Commentary
Paraguay,250,12,3.0,1.0,23,Informal,Opinion_Commentary
Paraguay,251,8,3.5,1.5,17,Informal,Personal_Emotional
Paraguay,252,28,1.5,1.0,28,Formal,Infrastructure_Contract
Paraguay,254,4,3.0,3.0,19,Informal,UserMention_Request_Response
Paraguay,255,12,2.6666666666666665,2.0,21,Formal,Government_Announcement
Paraguay,256,6,1.3333333333333333,1.0,7,Informal,UserMention_Request_Response
Paraguay,257,2,5.0,5.0,9,Formal,Infrastructure_Contract
Paraguay,259,12,2.5,2.0,19,Formal,Corruption_Donations_Procurement
Paraguay,260,4,3.0,3.0,7,Informal,Opinion_Commentary
Paraguay,261,10,1.8,2.0,15,Formal,Protest_Report
Paraguay,263,18,2.3333333333333335,1.0,30,Formal,Cultural_Event_Festival
Paraguay,264,12,2.0,2.0,19,Formal,Environment_NationalParks
Paraguay,265,16,2.875,2.5,32,Formal,Cultural_Event_Festival
Paraguay,266,4,10.0,10.0,28,Informal,Personal_Emotional
Paraguay,267,12,1.3333333333333333,1.0,13,Formal,Opinion_Commentary
Paraguay,268,8,3.0,2.5,15,Formal,Cultural_Event_Festival
Paraguay,269,2,4.0,4.0,24,Informal,Opinion_Commentary
Paraguay,270,20,1.6,1.5,22,Formal,Legislation_Policy
Paraguay,272,20,2.9,2.5,38,Formal,Government_Announcement
Paraguay,273,8,2.25,1.0,13,Informal,Opinion_Commentary
Paraguay,274,2,1.0,1.0,7,Informal,UserMention_Request_Response
Paraguay,275,4,2.5,2.5,7,Informal,UserMention_Request_Response
Paraguay,276,28,2.4285714285714284,1.0,46,Formal,Agriculture_Reactivation
Paraguay,277,4,2.5,2.5,7,Formal,Commercial_Product
Paraguay,278,8,1.0,1.0,8,Formal,Education_Policy_University
Paraguay,279,8,3.0,1.5,18,Informal,Opinion_Commentary
Paraguay,280,28,1.9285714285714286,2.0,34,Formal,Government_Announcement
Paraguay,281,8,3.0,3.0,16,Informal,UserMention_Request_Response
Paraguay,284,10,1.8,2.0,15,Formal,Government_Announcement
Paraguay,286,2,1.0,1.0,4,Informal,Personal_Emotional
Paraguay,287,22,1.9090909090909092,2.0,26,Formal,PublicAdministration_Changes
Paraguay,289,4,1.0,1.0,8,Informal,Humor_Rant
Paraguay,290,4,2.5,2.5,12,Informal,Humor_Rant
Paraguay,291,4,2.0,2.0,6,Informal,Personal_Emotional
Paraguay,292,10,2.6,2.0,20,Informal,Opinion_Commentary
Paraguay,294,6,1.0,1.0,6,Informal,UserMention_Request_Response
Paraguay,298,16,2.0,1.0,21,Informal,UserMention_Request_Response
Paraguay,300,24,1.5,1.0,30,Formal,Education_Policy_University
Paraguay,301,10,1.8,1.0,13,Formal,Media_Broadcast_Notice
Paraguay,302,4,3.0,3.0,12,Informal,Personal_Emotional
Paraguay,303,32,1.9375,2.0,45,Formal,Protest_Report
Paraguay,306,22,1.3636363636363635,1.0,21,Informal,Protest_Report
Paraguay,309,6,1.6666666666666667,1.0,9,Informal,Sports_Event
Paraguay,311,2,2.0,2.0,4,Informal,Personal_Emotional
Paraguay,313,4,1.5,1.5,6,Informal,Humor_Rant
Paraguay,315,6,1.6666666666666667,2.0,11,Informal,Entertainment_Music_Film
