corpus,source_row,sentence_id,language,span_len,switch_form,switch_upos,switch_deprel,switch_lang_tag,register,secondary_register,topic,sentence_len,has_emoji,total_spa,total_gua,is_functional,upos_class,high_scope_deprel,switch_start,token_id,form,upos,deprel,raw_lang_tag
Paraguay,0.0,1,Guarani,2.0,he'íva,VERB,root,gn,Formal,Education,Education_Policy_University,18,0.0,2.0,13.0,False,lexical,False,1,,,,,
Paraguay,0.0,1,Guarani,7.0,ohóva,VERB,acl,gn,Formal,Education,Education_Policy_University,18,0.0,2.0,13.0,False,lexical,False,1,,,,,
Paraguay,0.0,1,Spanish,2.0,clase,NOUN,obl,es-b-ul,Formal,Education,Education_Policy_University,18,0.0,2.0,13.0,False,lexical,False,1,,,,,
Paraguay,0.0,1,Guarani,4.0,noñeguahëi,VERB,conj,gn,Formal,Education,Education_Policy_University,18,0.0,2.0,13.0,False,lexical,False,1,,,,,
Paraguay,,1,Spanish,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,1.0,Aldana,PROPN,nsubj,ne-b-per
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,1,2.0,he'íva,VERB,root,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,True,functional,False,0,3.0,umi,DET,det,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,1,5.0,ohóva,VERB,acl,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,True,functional,True,0,6.0,ha,CCONJ,cc,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,7.0,oguahëva,VERB,conj,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,other,False,0,8.0,opavave,PRON,det,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,9.0,temimbo'épe,NOUN,obl,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,10.0,oñepyrû,VERB,advcl,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,other,False,0,11.0,mboyve,ADV,advmod,gn
Paraguay,,1,Spanish,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,1,12.0,clase,NOUN,obl,es-b-ul
Paraguay,,1,Spanish,,,,,,Formal,Education,Education_Policy_University,18,,,,True,functional,True,0,13.0,pero,CCONJ,cc,es-i-ul
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,1,14.0,noñeguahëi,VERB,conj,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,other,False,0,15.0,mbohapýha,NUM,nummod,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,16.0,ary,NOUN,obl,gn
Paraguay,,1,Guarani,,,,,,Formal,Education,Education_Policy_University,18,,,,False,lexical,False,0,17.0,ohóvape,VERB,advcl,gn
Paraguay,1.0,2,Spanish,3.0,exsenador,NOUN,nmod,es-b-ul,Informal,Opinion,Corruption_Donations_Procurement,12,0.0,5.0,4.0,False,lexical,False,1,,,,,
Paraguay,1.0,2,Guarani,1.0,ha,CCONJ,cc,gn,Informal,Opinion,Corruption_Donations_Procurement,12,0.0,5.0,4.0,True,functional,True,1,,,,,
Paraguay,1.0,2,Spanish,3.0,niñera,NOUN,conj,es-b-ul,Informal,Opinion,Corruption_Donations_Procurement,12,0.0,5.0,4.0,False,lexical,False,1,,,,,
Paraguay,1.0,2,Guarani,1.0,rehe,ADP,obl,gn,Informal,Opinion,Corruption_Donations_Procurement,12,0.0,5.0,4.0,True,functional,False,1,,,,,
Paraguay,,2,Guarani,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,0,1.0,Ho’áma,VERB,root,gn
Paraguay,,2,Guarani,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,0,2.0,tukumbo,NOUN,obj,gn
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,1,3.0,exsenador,NOUN,nmod,es-b-ul
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,0,4.0,Víctor,PROPN,appos,ne-b-per
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,0,5.0,Bogado,PROPN,flat,ne-i-per
Paraguay,,2,Guarani,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,True,functional,True,1,6.0,ha,CCONJ,cc,gn
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,1,8.0,niñera,NOUN,conj,es-b-ul
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,True,functional,False,0,9.0,de,ADP,case,es-i-ul
Paraguay,,2,Spanish,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,False,lexical,False,0,10.0,oro,NOUN,nmod,es-i-ul
Paraguay,,2,Guarani,,,,,,Informal,Opinion,Corruption_Donations_Procurement,12,,,,True,functional,False,1,12.0,rehe,ADP,obl,gn
Paraguay,2.0,3,Guarani,4.0,familia,NOUN,nmod,gn,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Spanish,1.0,sector,NOUN,nmod,es-b-ul,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Guarani,1.0,distrito,NOUN,nmod,gn,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Spanish,1.0,ayolense,ADJ,nmod,es-i-ul,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Guarani,1.0,ha,CCONJ,cc,gn,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,True,functional,True,1,,,,,
Paraguay,2.0,3,Spanish,5.0,dirigente,NOUN,conj,es-b-ul,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Spanish,1.0,OCM,PROPN,appos,ne-b-org,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Spanish,2.0,Mario,PROPN,flat,ne-b-per,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Guarani,2.0,ojerúre,VERB,root,gn,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,2.0,3,Spanish,2.0,bono,NOUN,obj,es-b-ul,Formal,News,Indigenous_CommunityAid,28,0.0,15.0,6.0,False,lexical,False,1,,,,,
Paraguay,,3,Spanish,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,0,1.0,Grupo,NOUN,nmod,es-b-ul
Paraguay,,3,Spanish,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,True,functional,False,0,2.0,de,ADP,case,es-i-ul
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,1,3.0,familia,NOUN,nmod,gn
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,0,4.0,mboriahumi,NOUN,nsubj,gn
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,0,5.0,oikóva,VERB,acl,gn
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,0,6.0,opávave,ADJ,amod,gn
Paraguay,,3,Spanish,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,1,7.0,sector,NOUN,nmod,es-b-ul
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,1,8.0,distrito,NOUN,nmod,gn
Paraguay,,3,Spanish,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,False,lexical,False,1,9.0,ayolense,ADJ,nmod,es-i-ul
Paraguay,,3,Guarani,,,,,,Formal,News,Indigenous_CommunityAid,28,,,,True,functional,True,1,11.0,ha,CCONJ,cc,gn
